
POST /quiz,POST,1
POST /quiz/init,POST,2
GET /quiz/search?text=easy&page=1&pageSize=5,GET,1
POST /user/signup,POST,8
POST /user/username_avaible,POST,2
GET /quiz/QUt3r5hl,GET,1
GET /quiz/QUxxxxxx,GET,1
POST /quiz/QUt3r5hl,POST,2
POST /user/signin,POST,2
GET /user/quizzes,GET,1
GET /user/played_games,GET,1
POST /quiz/QUxogkuk/import_questions,POST,2
GET /game/QUxogkuk/create,GET,6
GET /game/user/started_games,GET,1
GET /game/user/started_games?pageSize=2&page=1,GET,1
GET /game/user/started_games?pageSize=2&page=2,GET,1
GET /game/user/started_games?pageSize=2&page=3,GET,1
